"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled","msLevel","filename"
185.153704997816,185.153610229492,185.153717041016,3.05013,0.116381,5.58738,31246.8614646624,30803.3774970852,6806.96484375,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
222.185282886276,222.185119628906,222.185394287109,1.77138,0.116381,5.58738,51845.1867244401,51488.3909185233,14122.9404296875,20,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
246.206420533744,246.20637512207,246.206481933594,1.77138,0.116381,5.58738,51319.5674411193,51048.5985230296,16752.4296875,32,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
232.081599907277,232.081466674805,232.081741333008,4.31951,0.116381,7.04338,34392.6528576414,34387.1112584414,8553.83984375,8553,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
234.123735382558,234.123565673828,234.123931884766,3.05013,0.116381,7.04338,70650.6843112262,66739.7380310476,15284.734375,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
263.237038427772,263.236877441406,263.237182617188,4.31951,0.116381,7.04338,39472.9376005075,39467.3960013075,9908.7900390625,9908,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
276.195627129979,276.195434570312,276.195831298828,3.05013,0.116381,8.31038,220990.424608336,191036.066352858,33710.8203125,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
329.160656751672,329.160278320312,329.161376953125,4.31951,0.116381,7.04338,32368.6777784411,32363.1361792411,6851.81689453125,6851,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
601.130677506132,601.130249023438,601.130981445312,4.31951,0.116381,7.04338,39368.5990016053,39363.0574024053,8266.4833984375,8265,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
175.057750092951,175.057662963867,175.057907104492,5.58738,0.116381,8.31038,48804.0718604127,48797.2435279127,9979.5078125,9979,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
213.102586685248,213.102508544922,213.102661132812,5.58738,1.77138,8.31038,38181.9017201172,37895.2479267133,9467.1259765625,16,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
196.108203829024,196.108123779297,196.108291625977,3.05013,0.116381,8.31038,160649.885322588,128799.046798914,28075.021484375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
311.9449417271,311.944274902344,311.945343017578,5.58738,0.116381,35.661,259122.089723504,243443.584071457,28788.470703125,12,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
370.981826543224,370.9814453125,370.982025146484,4.31951,0.116381,9.57926,68702.6352423136,65632.316801992,10454.09375,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
163.050249282141,163.050201416016,163.05029296875,8.31038,4.31951,10.8491,39569.7279629619,39564.5042909619,10268.0498046875,10267,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
181.169915435576,181.169876098633,181.169967651367,3.05013,0.116381,9.57926,197369.07987734,188656.118196216,36954.4765625,12,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
194.084981785975,194.084823608398,194.085083007812,5.58738,0.116381,10.8491,110670.382838011,95952.1541748464,17656.904296875,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
273.143877570062,273.143585205078,273.144226074219,8.31038,5.58738,12.3063,34874.7497910703,34869.3746550703,7356.3369140625,7355,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
832.737156886896,832.735900878906,832.738830566406,9.57926,5.58738,12.3063,42342.4120631484,42020.2702224714,10009.63671875,15,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
210.185269203077,210.185211181641,210.185348510742,4.31951,0.116381,8.31038,158250.895400681,142429.346416989,21643.197265625,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
264.232106787051,264.231689453125,264.232391357422,5.58738,0.116381,17.581,201711.467044681,181385.441588321,21712.94921875,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
580.153065878247,580.152221679688,580.153686523438,3.05013,0.116381,12.3063,241474.137694098,232456.022934112,35835.1015625,13,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
205.068159071683,205.067733764648,205.068557739258,4.31951,0.116381,8.31038,222133.986257187,222125.792258186,31393.296875,31392,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
212.200901992128,212.200820922852,212.201156616211,3.05013,0.116381,8.31038,140329.913415404,99501.171117163,23543.943359375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
595.14399992943,595.14306640625,595.144714355469,4.31951,0.116381,10.8491,254462.459258421,248892.160584359,32941.8203125,14,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
213.184920302939,213.184814453125,213.18505859375,9.57926,0.116381,17.581,248185.154717711,207452.687429861,29180.697265625,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
287.142705133724,287.142150878906,287.143157958984,3.05013,0.116381,8.31038,175310.907344547,159784.912522957,31492.912109375,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
308.294582690522,308.294158935547,308.294769287109,13.5785,8.31038,17.581,204109.528165435,188927.585366165,30349.15234375,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
308.294558346509,308.294403076172,308.294616699219,3.05013,0.116381,8.31038,152737.057583521,139318.232940156,22971.990234375,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
355.368114324245,355.367736816406,355.368438720703,3.05013,0.116381,8.31038,134914.186866707,119571.018665019,22676.263671875,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
400.88625347619,400.886138916016,400.886413574219,13.5785,10.8491,17.581,46695.3759949414,45853.67047318,16139.0927734375,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
799.677635262855,799.67578125,799.679382324219,12.3063,8.31038,17.581,118024.647340276,107563.547755666,17812.455078125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
796.73546152537,796.735046386719,796.736267089844,14.8509,12.3063,18.8518,136014.175786328,125390.187185185,28340.359375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
806.721774099375,806.721252441406,806.722595214844,4.31951,0.116381,8.31038,119124.22542979,112585.539603509,26356.53125,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
806.721566140305,806.720153808594,806.722839355469,12.3063,8.31038,18.8518,134010.747865856,125598.855999275,22014.30078125,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
359.371101463181,359.370880126953,359.371368408203,8.31038,0.116381,13.5785,195283.437008921,193577.068849388,24370.126953125,24,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
359.371154699446,359.371063232422,359.371276855469,16.1233,13.5785,20.1224,95962.0131247851,95207.9576762288,24370.126953125,28,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
849.771623470395,849.770874023438,849.773193359375,17.581,14.8509,22.7111,135771.458074544,127862.538358122,27794.828125,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
169.085961024601,169.085739135742,169.08610534668,29.3005,21.3953,33.115,211936.1636609,169737.039489399,28693.83984375,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
722.643508226472,722.642822265625,722.644653320312,17.581,14.8509,21.3953,34418.3212620312,34413.0857420312,7092.228515625,7091,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
834.752619032684,834.751770019531,834.753540039062,13.5785,9.57926,20.1224,228231.347728645,197036.959854081,28958.166015625,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
178.09752508216,178.097290039062,178.097778320312,7.04338,1.77138,14.8509,253383.46294282,224720.881279457,26193.5234375,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
248.12823452194,248.128128051758,248.128372192383,18.8518,16.1233,22.7111,38758.4470011523,38753.1767611523,8039.21630859375,8038,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
198.00091629001,198.00080871582,198.001190185547,3.05013,0.116381,8.31038,124296.145833111,119957.949603086,23150.087890625,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
233.092102071412,233.091949462891,233.092178344727,4.31951,0.116381,9.57926,236788.889850515,236779.426971515,36816.10546875,36815,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
233.092006231768,233.091918945312,233.092163085938,13.5785,9.57926,18.8518,221132.440088285,221121.842899714,26183.5703125,26183,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
836.766649455461,836.765747070312,836.767944335938,21.3953,10.8491,26.5685,212540.318792578,183097.432082352,35593.609375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
822.753637510512,822.752685546875,822.755065917969,21.3953,14.8509,25.253,438716.031311499,398395.823087713,52861.95703125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
181.158706442286,181.158584594727,181.158798217773,4.31951,0.116381,17.581,261786.377488948,189901.996762557,25586.94140625,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
264.084652175582,264.084564208984,264.084869384766,21.3953,17.581,25.253,154570.528013672,146967.308312446,25911.044921875,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
264.084615000506,264.084381103516,264.084899902344,29.3005,25.253,33.115,146097.098082357,139418.655512972,25964.880859375,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
205.068369655966,205.068161010742,205.068618774414,22.7111,14.8509,34.3883,237391.801494193,219687.63717706,21956.337890625,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
198.076071178111,198.075942993164,198.076141357422,30.5708,20.1224,34.3883,214296.242718164,198040.419609961,28874.69140625,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
209.201286791813,209.201187133789,209.201370239258,18.8518,9.57926,34.3883,496974.386435273,479863.615360433,36936.01171875,14,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
240.142301845529,240.142013549805,240.142761230469,21.3953,12.3063,28.0288,221071.094462992,151984.015850725,25756.201171875,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
134.071264531971,134.071212768555,134.071304321289,3.05013,0.116381,12.3063,225159.339778368,187608.876095564,31921.8125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
90.0549493519558,90.0549087524414,90.0549850463867,34.3883,31.8443,38.4326,146926.633088789,139355.777115251,30443.30859375,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
330.336650171113,330.336578369141,330.336853027344,18.8518,13.5785,22.7111,364360.778752567,346074.64091767,49346.86328125,11,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
330.336519378618,330.336212158203,330.336853027344,34.3883,30.5708,38.4326,144424.316542188,130650.395246325,24404.490234375,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
195.185646039704,195.185455322266,195.185775756836,26.5685,0.116381,51.242,926221.050610015,907207.163941917,41639.06640625,24,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
309.203562546588,309.203125,309.204376220703,5.58738,0.116381,16.1233,408131.222248645,370232.168894964,36055.4453125,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
850.780597133413,850.779724121094,850.78173828125,38.4326,34.3883,40.9794,138692.173868086,124388.965418425,29319.8671875,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
187.09447149216,187.094360351562,187.094543457031,39.707,37.1615,43.524,46563.6698132325,46558.5798132325,11013.4921875,11012,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
850.784045928324,850.782653808594,850.785522460938,44.7956,40.9794,52.6989,189758.667316732,159432.595015393,35978.484375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
185.117273447464,185.1171875,185.117324829102,48.6991,44.7956,53.9688,128059.636766016,115120.371608171,25520.14453125,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
369.383538895853,369.383056640625,369.384307861328,43.524,26.5685,59.086,421465.909279932,402803.272395573,29046.171875,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
184.057974429026,184.057922363281,184.058074951172,4.31951,0.116381,8.31038,506026.506399366,477651.471274726,71421,15,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
184.057943741089,184.05778503418,184.058059692383,28.0288,20.1224,39.707,644266.520302891,582260.031293189,54577.62890625,11,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
278.902947491163,278.902740478516,278.9033203125,3.05013,0.116381,10.8491,428615.147553454,421571.053439321,50829.33984375,11,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
126.074336408157,126.074287414551,126.074371337891,4.31951,0.116381,12.3063,406643.474853728,346666.203017502,46657.0859375,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.936388199999,218.936080932617,218.936706542969,17.581,0.116381,76.0304,1728246.23867615,1664867.42926497,42663.2890625,11,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
169.075969487641,169.075805664062,169.076126098633,52.6989,30.5708,52.6989,260462.883969187,231689.25080841,29850.056640625,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
180.080700314176,180.080596923828,180.080810546875,39.707,35.661,44.7956,164086.782311719,145819.639975521,23097.765625,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
864.797968874115,864.797546386719,864.798400878906,68.1949,64.3484,70.7314,56399.094661914,55211.3931895013,11190.0966796875,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
275.277278186138,275.277038574219,275.27783203125,47.4285,0.116381,94.6919,2980162.48831942,2793889.47395605,87297.796875,15,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
174.091430443601,174.091323852539,174.091613769531,17.581,0.116381,48.6991,2405148.54023901,2163055.76138712,66968.34375,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
680.477985811018,680.4765625,680.478454589844,86.9117,84.1913,90.7088,229266.5863125,197063.075399828,56900.26953125,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
204.121190207372,204.120986938477,204.12141418457,7.04338,0.116381,21.3953,1091428.93628531,1073388.73735703,72629.4453125,21,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
204.121445455901,204.121002197266,204.121612548828,66.927,60.3563,70.7314,368961.304723901,359647.918019123,44905.53125,13,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
